IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
132.145.94.15,4,4,0.00,83.99,7.15
123.58.212.234,4,4,0.00,15.66,0.00
112.74.93.147,4,4,0.00,24.26,0.00
34.92.10.35,4,4,0.00,35.67,0.00
101.32.208.182,4,4,0.00,45.68,0.00
220.130.80.179,4,4,0.00,58.64,0.00
101.32.239.115,4,4,0.00,59.11,0.00
119.12.173.19,4,4,0.00,80.79,0.00
47.57.245.232,4,4,0.00,29.32,0.00
138.2.18.190,4,4,0.00,104.71,0.00
