IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
47.112.125.103,4,4,0.00,30.20,0.00
45.64.22.6,4,4,0.00,34.37,0.00
45.64.22.22,4,4,0.00,37.83,0.00
45.64.22.53,4,4,0.00,39.21,0.00
45.64.22.21,4,4,0.00,39.29,0.00
45.64.22.56,4,4,0.00,39.51,0.00
43.154.163.154,4,4,0.00,50.29,0.00
101.32.239.115,4,4,0.00,57.57,0.00
20.212.129.241,4,4,0.00,95.46,0.00
128.14.142.176,4,4,0.00,166.12,0.00
