IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
103.253.145.66,4,4,0.00,39.45,6.21
68.183.238.244,4,4,0.00,39.63,6.05
188.166.245.107,4,4,0.00,39.51,5.68
188.166.242.82,4,4,0.00,38.96,5.61
165.22.54.138,4,4,0.00,35.80,4.18
128.199.186.30,4,4,0.00,39.66,3.28
174.138.21.107,4,4,0.00,39.73,3.05
101.132.47.83,4,4,0.00,36.00,1.74
47.101.62.249,4,4,0.00,36.06,0.42
139.196.224.73,4,4,0.00,39.76,0.00
