IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
119.36.161.40,4,4,0.00,74.17,5.29
159.65.161.124,4,4,0.00,317.24,3.24
135.148.4.33,4,4,0.00,232.91,2.77
128.14.142.176,4,4,0.00,180.33,2.66
173.44.61.144,4,4,0.00,265.80,2.52
128.14.162.48,4,4,0.00,237.81,2.42
43.153.31.207,4,4,0.00,171.86,1.53
139.162.50.52,4,4,0.00,317.48,1.03
147.135.10.209,4,4,0.00,228.83,0.03
34.145.145.76,4,4,0.00,316.99,0.02
34.150.133.11,4,4,0.00,317.17,0.01
101.32.208.182,4,4,0.00,57.24,0.00
147.78.178.242,4,4,0.00,189.81,0.00
140.83.57.108,4,4,0.00,187.12,0.00
193.123.66.14,4,4,0.00,138.75,0.00
47.101.62.249,4,4,0.00,75.09,0.00
139.162.50.83,4,4,0.00,317.45,0.00
172.104.178.44,4,4,0.00,317.46,0.00
223.4.75.27,4,4,0.00,75.02,0.00
139.162.56.247,4,4,0.00,317.52,0.00
