IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
45.64.22.23,4,4,0.00,81.19,3.17
47.112.125.103,4,4,0.00,24.09,0.00
47.101.62.249,4,4,0.00,43.27,0.00
223.4.76.213,4,4,0.00,44.33,0.00
43.154.163.154,4,4,0.00,45.93,0.00
139.196.224.73,4,4,0.00,46.85,0.00
101.32.239.115,4,4,0.00,53.84,0.00
119.12.173.19,4,4,0.00,72.63,0.00
219.76.13.181,4,4,0.00,80.22,0.00
101.32.208.182,4,4,0.00,45.57,0.00
