IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
223.4.66.202,4,4,0.00,40.10,10.50
45.64.22.21,4,4,0.00,30.39,3.19
45.64.22.6,4,4,0.00,30.41,3.18
119.36.161.40,4,4,0.00,31.81,0.13
155.138.157.131,4,4,0.00,247.64,0.09
34.150.133.11,4,4,0.00,258.39,0.06
101.32.208.182,4,4,0.00,48.41,0.00
47.108.32.10,4,4,0.00,56.65,0.00
101.32.239.115,4,4,0.00,57.71,0.00
43.153.31.207,4,4,0.00,173.00,0.00
