IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
210.75.24.220,4,4,0.00,14.19,3.12
128.14.67.5,4,4,0.00,18.97,0.30
128.14.67.5,4,4,0.00,19.41,0.27
128.14.67.5,4,4,0.00,22.91,0.27
47.57.2.202,4,4,0.00,21.18,0.06
123.58.212.234,4,4,0.00,19.41,0.06
123.58.212.234,4,4,0.00,20.28,0.01
101.32.208.182,4,4,0.00,15.99,0.00
43.154.163.154,4,4,0.00,16.87,0.00
43.154.163.154,4,4,0.00,18.11,0.00
