IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
128.14.142.176,4,4,0.00,172.07,6.19
45.64.22.22,4,4,0.00,29.14,3.20
45.64.22.23,4,4,0.00,74.07,3.20
119.36.161.40,4,4,0.00,33.03,0.91
47.100.124.138,4,4,0.00,42.02,0.00
43.154.163.154,4,4,0.00,48.61,0.00
101.32.239.115,4,4,0.00,58.33,0.00
20.212.129.241,4,4,0.00,106.27,0.00
223.4.75.27,4,4,0.00,41.01,0.00
43.153.31.207,4,4,0.00,174.74,0.00
