IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
128.14.142.176,4,4,0.00,178.04,5.83
223.4.75.27,4,4,0.00,41.23,0.00
47.108.32.1,4,4,0.00,44.67,0.00
139.196.224.73,4,4,0.00,46.62,0.00
43.154.163.154,4,4,0.00,49.78,0.00
101.32.239.115,4,4,0.00,54.19,0.00
35.240.250.92,4,4,0.00,60.73,0.00
123.58.201.213,4,4,0.00,121.02,0.00
43.153.31.207,4,4,0.00,172.12,0.00
139.224.43.79,4,4,0.00,47.21,0.00
