IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
60.249.92.67,4,4,0.00,55.98,4.42
47.57.233.126,4,4,0.00,19.09,0.40
128.14.67.5,4,4,0.00,18.58,0.28
128.14.67.5,4,4,0.00,18.39,0.27
123.58.212.234,4,4,0.00,18.91,0.02
60.249.92.67,4,4,0.00,44.19,0.00
223.4.76.213,4,4,0.00,46.24,0.00
159.138.89.106,4,4,0.00,51.51,0.00
132.226.239.254,4,4,0.00,68.34,0.00
193.122.107.30,4,4,0.00,70.42,0.00
