IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
45.64.22.6,4,4,0.00,84.69,3.20
45.64.22.21,4,4,0.00,31.00,3.19
45.64.22.56,4,4,0.00,32.67,3.19
119.36.161.40,4,4,0.00,35.61,0.11
223.4.66.202,4,4,0.00,44.15,0.00
101.32.208.182,4,4,0.00,48.48,0.00
101.32.239.115,4,4,0.00,52.72,0.00
193.123.66.14,4,4,0.00,142.15,0.00
43.153.31.207,4,4,0.00,171.24,0.00
34.145.145.76,4,4,0.00,248.08,0.00
